complex,prediction,n,entrez
Dyrk1b-Hnf1a-Pcbd2 complex,CYTOSOL,3,21405; 72562; 13549
Dysbindin 1-A-DNA-PK-complex,LARGE PROTEIN COMPLEX,4,14375; 22596; 19090; 94245
Dysbindin-pallidin-muted-beta-dystrobrevin complex,CYTOSOL,4,13528; 17828; 94245; 18457
dysbindin-Snapin-BLOS2 complex,ENDOSOME,3,20615; 73689; 94245
Dysferlin-affixin complex,CYTOSOL|LARGE PROTEIN COMPLEX|SECRETORY|UNKNOWN,2,26903; 170736
Dysferlin-Dhpr complex,SECRETORY|UNKNOWN,2,26903; 12292
"Dystrobrevin-syntrophin complex, brain-derived",PLASMA MEMBRANE|UNKNOWN,4,13528; 13405; 20648; 13527
Dystrophin complex (Dmd; Snta1),PLASMA MEMBRANE,2,13405; 20648
Dystrophin complex (Dmd; Stnb1),PLASMA MEMBRANE,2,13405; 20649
Dystrophin-glycoprotein complex (DGC),PLASMA MEMBRANE|UNKNOWN,4,22601; 24052; 13138; 50523
"Dystrophin-sarcoglycan-syntrophin complex, skeletal muscle",PLASMA MEMBRANE|UNKNOWN,6,13405; 24052; 24053; 24051; 20391; 20648
DZIP1-GLI3 complex,MITOCHONDRIA|NUCLEUS,2,14634; 66573
DZIP1-IFT88 complex,CYTOSOL|MITOCHONDRIA|NUCLEUS,2,21821; 66573
E2F-1-DP-1 complex,NUCLEUS,2,13555; 21781
E2F-1-DP-1-cyclinA-CDK2 complex,LARGE PROTEIN COMPLEX|NUCLEUS,4,12566; 12427; 13555; 21781
E2F1-p107-cyclinA complex,NUCLEUS,3,12428; 19650; 13555
E2F4-p107-cyclinE complex,NUCLEUS|UNKNOWN,3,12447; 19650; 104394
E2F4-p130 complex,UNKNOWN,2,19651; 104394
"E3 ubiquitin ligase (BRCA1, BARD1) - UbcH5c complex",NUCLEUS,3,12189; 66105; 12021
E6AP-HERC2-MAPK6-NEURL4 complex,LARGE PROTEIN COMPLEX|UNKNOWN,4,15204; 22215; 50772; 216860
EARP complex,LARGE PROTEIN COMPLEX,4,68299; 224705; 73288; 68505
EB1-APC-mDia1 complex,LARGE PROTEIN COMPLEX,3,13367; 13589; 11789
EB1-APC-mDia2 complex,LARGE PROTEIN COMPLEX,3,13589; 11789; 56419
EBAFa complex,NUCLEUS,10,93760; 56456; 20586; 64144; 20587; 68094; 20588; 83796; 57376; 83797
EBAFb complex,NUCLEUS,10,56456; 20586; 64144; 20587; 239985; 68094; 20588; 83796; 57376; 83797
"Ecsit complex  (Ecsit2, Smad1, Smad4)",MITOCHONDRIA,3,17125; 17128; 26940
"Ecsit complex (ECSIT, MT-CO2, GAPDH, TRAF6, NDUFAF1)",MITOCHONDRIA,5,17709; 14433; 26940; 69702; 22034
"Ecsit complex (ECSIT, MT-CO2, NDUFA1, MT-ND1, TRAF6, NDUFAF1)",MITOCHONDRIA,6,54405; 17709; 17716; 26940; 69702; 22034
"Ecsit complex (ECSIT, NDUFS3, NDUFAF1)",MITOCHONDRIA,3,68349; 26940; 69702
"Ecsit complex (ECSIT, NDUFS3, TOM20)",MITOCHONDRIA,3,68349; 67952; 26940
"Ecsit complex (Ecsit2, Smad1), Bmp4 treated",MITOCHONDRIA,2,17125; 26940
"Ecsit complex (Ecsit2, Smad4), Bmp4 treated or untreated",MITOCHONDRIA,2,17128; 26940
ECT2-KIF23-RACGAP1 complex,NUCLEUS,3,71819; 26934; 13605
Ectodermin-SMAD4 complex,LARGE PROTEIN COMPLEX,2,17128; 94093
EED-EZH polycomb complex,NUCLEUS,2,13626; 14056
EED-EZH-YY1 polycomb complex,NUCLEUS,3,13626; 22632; 14056
EED-EZH2 complex,NUCLEUS,5,13626; 19646; 52615; 14056; 11569
EED-EZH2-PHF19 complex,NUCLEUS,3,13626; 14056; 74016
Egasyn-glucuronidase complex,LYSOSOME,2,110006; 13897
EGFR-CBL-GRB2 complex,LARGE PROTEIN COMPLEX|PLASMA MEMBRANE|UNKNOWN,3,13649; 12402; 14784
EGFR-containing signaling complex,PLASMA MEMBRANE,4,18704; 240752; 13649; 13866
"Egfr-Grb2-mSos1 complex, EGF stimulated",LARGE PROTEIN COMPLEX|PLASMA MEMBRANE|UNKNOWN,3,13649; 20662; 14784
EglN2-NRF1-PGC1alpha complex,SECRETORY,3,18023; 112406; 19017
EGR-EP300 complex,NUCLEUS,2,13653; 328572
EIF2B1-EIF2B2-EIF2B3-EIF2B4-EIF2B5 complex,LARGE PROTEIN COMPLEX,5,217715; 224045; 209354; 108067; 13667
EIF2B2-EIF2B3-EIF2B4-EIF2B5 complex,LARGE PROTEIN COMPLEX,4,217715; 224045; 108067; 13667
"EIF3 complex (EIF3A, EIF3B, EIF3G, EIF3I, EIF3C)",LARGE PROTEIN COMPLEX,5,53356; 27979; 54709; 13669; 56347
"EIF3 complex (EIF3A, EIF3B, EIF3G, EIF3I, EIF3J)",LARGE PROTEIN COMPLEX,5,53356; 78655; 27979; 54709; 13669
"EIF3 complex (EIF3B, EIF3G, EIF3I)",LARGE PROTEIN COMPLEX,3,53356; 27979; 54709
"EIF3 complex (EIF3B, EIF3J, EIF3I)",LARGE PROTEIN COMPLEX,3,78655; 27979; 54709
"eIF3 complex (EIF3S6, EIF3S5, EIF3S4, EIF3S3, EIF3S6IP, EIF3S2, EIF3S9, EIF3S12,  EIF3S10, EIF3S8,  EIF3S1, EIF3S7, PCID1)",LARGE PROTEIN COMPLEX,13,66085; 55944; 68135; 53356; 78655; 27979; 16341; 54709; 13669; 98221; 56347; 73830; 223691
"EIF3 core complex (EIF3A, EIF3B, EIF3G, EIF3I)",LARGE PROTEIN COMPLEX,4,53356; 27979; 54709; 13669
Elavl1-Tia complex,LARGE PROTEIN COMPLEX,2,21841; 15568
Elk1-Srf complex,NUCLEUS,2,13712; 20807
ELK1-SRF-ELK3 complex,NUCLEUS,3,20807; 13712; 13713
ELMO1-DOCK1 complex,LARGE PROTEIN COMPLEX,2,330662; 140580
ELMO1-DOCK1-CRKII complex,CYTOSOL,3,12928; 330662; 140580
ELMO1-DOCK1-RAC1 complex,LARGE PROTEIN COMPLEX|PLASMA MEMBRANE|UNKNOWN,3,19353; 330662; 140580
ELMO1-DOCK2 complex,UNCLASSIFIED,2,140580; 94176
Elongator holo complex,LARGE PROTEIN COMPLEX,4,230233; 58523; 77766; 74195
Elongin (SIII) complex,LARGE PROTEIN COMPLEX,3,67673; 67923; 27224
Emerin architectural complex,NUCLEUS,6,16905; 16906; 13726; 11461; 64685; 20740
Emerin complex 1,ACTIN BINDING PROTEINS,8,17886; 13726; 11461; 71602; 20740; 71994; 380928; 66641
Emerin-actin-NMI complex,CYTOSOL|ENDOPLASMIC RETICULUM,3,13726; 11461; 64685
Emerin-actin-NMI-(alphaII)spectrin complex,ACTIN BINDING PROTEINS,4,13726; 11461; 64685; 20740
END1-ENDRA complex,SECRETORY,2,13614; 13617
Endosomal targeting complex (VIPAS39-VPS33B),ENDOSOME,2,233405; 104799
EP300-KAT2B-TBX5-WWTR1 complex,NUCLEUS,4,328572; 18519; 21388; 97064
EphA1 receptor signaling complex,CYTOSOL|SECRETORY,4,16818; 13835; 18708; 19229
Ephb1-Sdc2 complex,PLASMA MEMBRANE|SECRETORY,2,270190; 15529
Epithelial utrophin-associated protein complex,UNKNOWN,3,22288; 13528; 20650
EPO-EPOR complex,UNCLASSIFIED,2,13856; 13857
Epo-R-IP(3)R type II-TRPC2 complex,ENDOPLASMIC RETICULUM|SECRETORY|UNKNOWN,3,13857; 22064; 16439
Epo-R-PLC-gamma 1-IP(3)R type II-TRPC2 signaling complex,UNKNOWN,4,13857; 18803; 22064; 16439
Epo-R-PLC-gamma-TRPC2 complex,ACTIN BINDING PROTEINS|CYTOSOL|UNKNOWN,3,13857; 18803; 22064
EPOR receptor complex,UNCLASSIFIED,1,13857
Eps15-stonin2 complex,PLASMA MEMBRANE,2,13858; 108800
Epsin-clathrin complex,PLASMA MEMBRANE,5,218038; 13854; 11772; 11773; 20616
Er-alpha-p53-hdm2 complex,NUCLEUS,3,13982; 22059; 17246
ERBB2-MEMO-SHC complex,PLASMA MEMBRANE|UNKNOWN,3,13866; 20416; 76890
ERBB2-SPG1 complex,PLASMA MEMBRANE,2,13866; 16728
ERBB3-SPG1 complex,PLASMA MEMBRANE,2,13867; 16728
ERCC1-ERCC4-MSH2 complex,NUCLEUS,3,13870; 17685; 50505
ERCC1-RPA1-XPA complex,LARGE PROTEIN COMPLEX,3,13870; 22590; 68275
ERdj3-BiP complex,ENDOPLASMIC RETICULUM,2,14828; 67838
eRF1-eRF3-GTP-Mg(2+) complex,LARGE PROTEIN COMPLEX,2,14852; 225363
ERG-JUN-FOS DNA-protein complex,UNKNOWN,3,14281; 16476; 13876
erlin1/2-RNF170 complex,ENDOPLASMIC RETICULUM,3,226144; 244373; 77733
ERS1-MDM2 complex,NUCLEUS|UNKNOWN,2,13982; 17246
ESCRT-I complex,CYTOSOL|ENDOSOME|UNKNOWN,3,107305; 22088; 66914
ESCRT-II complex,CYTOSOL|LARGE PROTEIN COMPLEX|UNKNOWN,3,70160; 27681; 28084
ESPL1-CDC2 complex,LARGE PROTEIN COMPLEX,2,12534; 105988
ESR1-CDK7-CCNH-MNAT1-MTA1-HDAC2 complex,NUCLEUS,6,13982; 12572; 66671; 17420; 116870; 15182
ESR1-JUN complex,UNKNOWN,2,13982; 16476
ESR1-JUN-GRIP1 complex,UNKNOWN,3,13982; 16476; 74053
ESR1-MDM4 complex,CYTOSOL|UNKNOWN,2,17248; 13982
Esr1-Pit1 complex,UNKNOWN,2,13982; 18736
ESR1-RELA-BCL3-NCOA3 complex,UNKNOWN,4,13982; 12051; 19697; 17979
ESR1-TRAP/Mediator coactivator-complex,NUCLEUS,18,66213; 26896; 23989; 69792; 13982; 51813; 264064; 328572; 108098; 19014; 17977; 59024; 28077; 56771; 234959; 327987; 70208; 216154
ESR2-TRAP/Mediator coactivator complex,NUCLEUS,18,66213; 26896; 23989; 69792; 51813; 264064; 328572; 108098; 19014; 17977; 13983; 59024; 28077; 56771; 234959; 327987; 70208; 216154
"Estrogen receptor complex (ESR1, EP300, NCOA1)",NUCLEUS,3,13982; 328572; 17977
ESYT1-ESYT2 complex,ENDOPLASMIC RETICULUM|PLASMA MEMBRANE|SECRETORY,2,52635; 23943
ESYT1-ESYT3 complex,ENDOPLASMIC RETICULUM,2,272636; 23943
ETS1-PRX1 complex,NUCLEUS,2,23871; 18933
ETS2-ERG complex,UNCLASSIFIED,2,13876; 23872
ETS2-ETS1 complex,UNCLASSIFIED,2,23871; 23872
ETS2-FOS-JUN complex,UNKNOWN,3,14281; 16476; 23872
ETS2-SMARCA4-INI1 complex,NUCLEUS,3,23872; 20586; 20587
Ets2-Smarca4-Smarcb1-Smarce1 complex,NUCLEUS,4,20586; 57376; 23872; 20587
EXO1-MLH1-PCNA complex,LARGE PROTEIN COMPLEX,3,18538; 17350; 26909
EXO1-MLH1-PMS2 complex,NUCLEUS,3,17350; 18861; 26909
Exocyst complex,LARGE PROTEIN COMPLEX,8,105504; 211446; 102058; 107371; 20336; 66482; 69940; 53413
Exocyst EXOC5-EXOC6 subcomplex,LARGE PROTEIN COMPLEX,2,105504; 107371
Exocyst EXOC5-EXOC6-EXOC7 subcomplex,LARGE PROTEIN COMPLEX,3,105504; 107371; 53413
"Exon junction complex (EIF4A3, MLN51, MAGOH, Y14)",LARGE PROTEIN COMPLEX,4,192160; 192170; 17149; 60365
"Exon junction complex (EIF4A3, MLN51, UPF3B, MAGOH, Y14, PYM)",LARGE PROTEIN COMPLEX,6,192160; 192170; 17149; 68134; 78428; 60365
Exosome,NUCLEUS,13,50912; 50911; 227715; 66446; 72544; 69639; 109075; 27998; 66362; 72662; 66583; 213550; 68533
EXT1-EXT2 complex,SECRETORY|UNKNOWN,2,14042; 14043
EYA1-SIX1 complex,UNCLASSIFIED,2,20471; 14048
EYA1-SIX2 complex,UNCLASSIFIED,2,14048; 20472
Eya1/3-Dach1/2-Six1 complex,NUCLEUS,3,14048; 20471; 13134
"Ezh2 methyltransferase complex, cytosolic",NUCLEUS,3,13626; 52615; 14056
FA complex (Fanconi anemia complex),LARGE PROTEIN COMPLEX|NUCLEUS|UNKNOWN,12,60534; 14087; 14088; 104806; 237211; 72775; 100040608; 67030; 68275; 12144; 21975; 74386
"FA complex (Fanconi anemia complex), cytoplasmic",CYTOSOL|UNKNOWN,4,60534; 14087; 14088; 100040608
FA core complex (Fanconi anemia core complex),UNKNOWN,9,60534; 14087; 14088; 71885; 104806; 237211; 72775; 100040608; 67030
FA core complex 1 (Fanconi anemia core complex 1),UNKNOWN,5,60534; 14087; 14088; 72775; 100040608
FACT complex,NUCLEUS,2,20833; 114741
"FACT complex, UV-activated",LARGE PROTEIN COMPLEX,5,13000; 13001; 12995; 20833; 114741
FACT-NEK9 complex,NUCLEUS,3,20833; 217718; 114741
FAK-p120RasGAP-p190RhoGAP complex,CYTOSOL|LARGE PROTEIN COMPLEX|UNKNOWN,3,218397; 19417; 14083
FAK\u2013p130Cas\u2013MT1 complex,LARGE PROTEIN COMPLEX|UNKNOWN,3,17387; 12927; 14083
Fanconi anemia FAAP100 complex,UNKNOWN,10,60534; 14087; 14088; 71885; 104806; 237211; 101831; 72775; 100040608; 67030
Farnesyltransferase,CYTOSOL,2,14272; 110606
FARP2-NRP1-PlexinA1 complex,PLASMA MEMBRANE,3,18186; 227377; 18844
FARP2-NRP1-PlexinA2 complex,PLASMA MEMBRANE,3,18186; 18845; 227377
FARP2-NRP1-PlexinA3 complex,PLASMA MEMBRANE,3,18186; 227377; 18846
FARP2-NRP1-PlexinA4 complex,PLASMA MEMBRANE,3,18186; 227377; 243743
FBXW7-CDX2-GSK3B complex,LARGE PROTEIN COMPLEX,3,56637; 50754; 12591
FBXW7-CSF3R-GSK3B complex,LARGE PROTEIN COMPLEX,3,56637; 50754; 12986
FCP1-associated protein complex,LARGE PROTEIN COMPLEX,7,27374; 231329; 98053; 13877; 106504; 70465; 67655
FEN1-WRN complex,LARGE PROTEIN COMPLEX|NUCLEUS,2,14156; 22427
FERMT3-RACK1 complex,LARGE PROTEIN COMPLEX,2,14694; 108101
"Fertilin complex (Adam1a, Adam2)",UNCLASSIFIED,2,11495; 280668
"Fertilin complex (Adam1b, Adam2)",UNCLASSIFIED,2,11495; 280667
FGF1-FGFR1-ITGB3 complex,CYTOSOL|SECRETORY,3,16416; 14164; 14182
FGF1-ITGAV-ITGB3 complex,PLASMA MEMBRANE,3,16416; 14164; 16410
Fgf12-Nav1.2 complex,NUCLEUS,2,110876; 14167
"FGF19-FGFR4-KLB complex, heparin induced",SECRETORY,3,14170; 14186; 83379
Fgf2-Ck2 complex,LARGE PROTEIN COMPLEX,2,14173; 13001
FGF21-FGFR1c-KLB complex,LYSOSOME|SECRETORY|UNKNOWN,3,14182; 83379; 56636
FGF21-FGFR4-KLB complex,SECRETORY,3,14186; 83379; 56636
FGF23-FGFR1c-KL complex,LYSOSOME|SECRETORY|UNKNOWN,3,16591; 14182; 64654
FGFR1c-KL complex,LYSOSOME|SECRETORY|UNKNOWN,2,16591; 14182
FGFR2-c-Cbl-Lyn-Fyn complex,PLASMA MEMBRANE,4,14360; 17096; 14183; 12402
FGFR4-KLB complex,SECRETORY,2,14186; 83379
Fgr-Pyk2-p190RhoGap complex,CYTOSOL|LARGE PROTEIN COMPLEX,3,14191; 232906; 19229
FHF complex,CYTOSOL,5,320191; 74349; 170833; 14339; 77963
Fhf1b-Nav1.9 complex,UNCLASSIFIED,2,24046; 14167
Fhl1-Pdlim1-Gsn-Actn1 complex,UNKNOWN,4,54132; 227753; 14199; 109711
FHL2 homodimer complex,LARGE PROTEIN COMPLEX|UNKNOWN,1,14200
FHL2-ACT complex,LARGE PROTEIN COMPLEX|NUCLEUS|UNKNOWN,2,14200; 57756
FHL2-CREB complex,NUCLEUS,2,12912; 14200
FHL2-FHL3 complex,CYTOSOL|LARGE PROTEIN COMPLEX|UNKNOWN,2,14201; 14200
FHL2-p53-HIPK2 complex,NUCLEUS,3,22059; 14200; 15258
FHL3 homodimer complex,CYTOSOL,1,14201
FHL3-CREB complex,NUCLEUS,2,12912; 14201
FHL4/STX11-ACT complex,NUCLEUS,2,74732; 57756
FIB-associated protein complex,LARGE PROTEIN COMPLEX|MITOCHONDRIA,6,27374; 14113; 12261; 22142; 15469; 545486
Fibrinogen complex,UNCLASSIFIED,3,14161; 110135; 99571
FIF-FGR2 complex,LARGE PROTEIN COMPLEX,2,14173; 11800
FILIP1-FLNA complex,ACTIN BINDING PROTEINS,2,192176; 70598
FILIP1-RhoD complex,NUCLEUS,2,11854; 70598
FLCN-FNIP2 complex,CYTOSOL|UNKNOWN,2,216805; 329679
FLRT3-LPHN3 complex,PLASMA MEMBRANE,2,319387; 71436
FLRT3-LPHN3-UNC5B complex,PLASMA MEMBRANE,3,107449; 319387; 71436
FLRT3-LPHN3-UNC5D complex,PLASMA MEMBRANE|SECRETORY,3,210801; 319387; 71436
Fmrp-Lgl complex,LARGE PROTEIN COMPLEX|PLASMA MEMBRANE|UNKNOWN,2,14265; 16897
FN1-TGM2 complex,UNKNOWN,2,14268; 21817
Fosb-Junb DNA-protein complex,NUCLEUS,2,14282; 16477
FOXO1-ATF4 complex,CYTOSOL,2,11911; 56458
FOXO1-CREB1 complex,NUCLEUS,2,12912; 56458
FOXO1-ESR1 complex,CYTOSOL|UNKNOWN,2,13982; 56458
FOXO1-FHL2-SIRT1 complex,CYTOSOL,3,56458; 14200; 93759
Foxo1-Yap1 complex,CYTOSOL,2,22601; 56458
FOXO3-CBP complex,NUCLEUS,2,56484; 12914
"FOXO3-PCAF complex, oxidative stress stimulated",CYTOSOL|NUCLEUS|UNKNOWN,2,56484; 18519
"FOXO3-SIRT1 complex, oxidative stress stimulated",CYTOSOL,2,56484; 93759
"FOXO3-TP53 complex, oxidative stress stimulated",CYTOSOL|NUCLEUS|UNKNOWN,2,56484; 22059
Foxo4-Srf-Myocd complex,NUCLEUS,3,214384; 20807; 54601
FOXP3-TRIM28-ZFP90 complex,LARGE PROTEIN COMPLEX|NUCLEUS,3,21849; 22751; 20371
Fra1-JunB DNA-protein complex,NUCLEUS,2,14283; 16477
Frataxin complex,MITOCHONDRIA,7,27425; 15510; 66945; 15526; 14297; 380840; 69597
Frs2-Grb2-Sos1 complex,LARGE PROTEIN COMPLEX|PLASMA MEMBRANE|UNKNOWN,3,14784; 20662; 327826
"Frs2-Shp2 complex, FGF stimulated",LARGE PROTEIN COMPLEX|PLASMA MEMBRANE,2,19247; 327826
FTS-Vps16 complex,CYTOSOL|ENDOSOME,2,80743; 14339
FTS-Vps18 complex,CYTOSOL|ENDOSOME,2,14339; 228545
FTS-Vps41 complex,ENDOSOME,2,218035; 14339
FYB-CARMA1-BCL-10-MALT1 complex,CYTOSOL|UNKNOWN,4,23880; 12042; 108723; 240354
FYN-KHDRBS1-PLCG1 complex,LARGE PROTEIN COMPLEX|NUCLEUS|PLASMA MEMBRANE,3,14360; 18803; 20218
FZD5-LGR5-LRP6 complex,SECRETORY,3,14160; 16974; 14367
Fzd7-Gnas-Pik3r1 complex,PLASMA MEMBRANE,3,18708; 14683; 14369
G alpha-13-Hax-1-cortactin-Rac complex,CYTOSOL|MITOCHONDRIA|PLASMA MEMBRANE,4,23897; 11651; 13043; 14674
"G protein complex (Btk, Gng2, Gnb1)",PLASMA MEMBRANE,3,12229; 14688; 14702
"G protein complex (CACNA1A, GNB1, GNG2)",PLASMA MEMBRANE,3,12286; 14702; 14688
"G protein complex (GNG2, GNB2L1, RAF1)",LARGE PROTEIN COMPLEX,3,110157; 14702; 14694
"G protein complex (Hdac4, Gnb1, Gng2)",PLASMA MEMBRANE,3,14688; 14702; 208727
"G protein complex (HDAC4, GNB1, GNG2)",PLASMA MEMBRANE,3,208727; 14702; 14688
"G protein complex (HDAC5, GNB1, GNG2)",PLASMA MEMBRANE,3,14702; 14688; 15184
"G protein complex (Kalrn, Gnb1, Gng2)",PLASMA MEMBRANE,3,14688; 545156; 14702
"G protein complex (Mcf2l, Gnb1, Gng2)",PLASMA MEMBRANE,3,14688; 14702; 17207
"G protein complex (NME2, GNB1, GNGT1)",PLASMA MEMBRANE,3,14699; 14688; 18103
G-calpain,CYTOSOL,2,170725; 73647
GAA1-GPI8-PIGT-PIG-PIGS complex,ENDOPLASMIC RETICULUM,5,14731; 329777; 78928; 276846; 228812
"GABA-A receptor (GABRA1, GABRB2, GABRD)",UNCLASSIFIED,3,14403; 14394; 14401
"GABA-A receptor (GABRA1, GABRB2, GABRG2)",UNCLASSIFIED,3,14394; 14406; 14401
"GABA-A receptor (Gabra4, Gabrb3, Gabrd)",UNCLASSIFIED,3,14403; 14397; 14402
"GABA-A receptor (Gabra5, Gabrb2, Gabrg2)",UNCLASSIFIED,3,14406; 110886; 14401
"GABA-A receptor (Gabra5, Gabrb3, Gabrg2)",UNCLASSIFIED,3,14406; 110886; 14402
GABAB core receptor,CYTOSOL,6,242425; 243043; 383348; 239217; 207474; 54393
GABBR1-GABBR2 complex,CYTOSOL|ENDOPLASMIC RETICULUM,2,242425; 54393
GABBR2-HTR1A complex,CYTOSOL,2,242425; 15550
GABP(gamma)1-E2F1-DP1 complex,NUCLEUS,3,13555; 21781; 213054
GAIT complex,LARGE PROTEIN COMPLEX,4,56403; 14433; 107508; 22121
GALNS-lysosomal hydrolase 1.27 MDa complex,LYSOSOME,4,19025; 12091; 50917; 18010
Gamma-BAR-AP1 complex,LARGE PROTEIN COMPLEX|UNKNOWN,9,11765; 11766; 108012; 11769; 11764; 211556; 252903; 11767; 11768
"Gamma-secretase complex (Aph1a, Ncstn, Psen1, Psenen, Tmp21)",PLASMA MEMBRANE|SECRETORY,5,19164; 59287; 226548; 66340; 68581
"Gamma-secretase complex (Aph1a, Psen1, Psenen, Ncstn)",PLASMA MEMBRANE,4,19164; 59287; 226548; 66340
"Gamma-secretase complex (APH1A, PSEN1, PSENEN, NCSTN)",PLASMA MEMBRANE,4,19164; 59287; 226548; 66340
"Gamma-secretase complex (APH1A, PSEN2, PSENEN, NCSTN)",SECRETORY|UNKNOWN,4,19165; 59287; 226548; 66340
"Gamma-secretase complex (APH1B, PSEN1, PSENEN, NCSTN)",PLASMA MEMBRANE,4,19164; 208117; 59287; 66340
"Gamma-secretase complex (APH1B, PSEN2, PSENEN, NCSTN)",SECRETORY|UNKNOWN,4,19165; 208117; 59287; 66340
Gamma-secretase-Delta1 complex,PLASMA MEMBRANE|SECRETORY,5,13388; 19164; 59287; 226548; 66340
Gamma-tubulin complex,LARGE PROTEIN COMPLEX,6,103733; 259279; 328580; 233276; 74237; 51885
GammaH2AFX-NDHII-Ku70-DNA complex,LARGE PROTEIN COMPLEX,3,14375; 15270; 13211
GAP-43-Galphai complex,PLASMA MEMBRANE,2,14677; 14432
GARP complex,LARGE PROTEIN COMPLEX,4,68299; 224705; 245944; 68505
Gata1-Fog1 complex,UNCLASSIFIED,2,22761; 14460
Gata1-Fog1-MeCP1 complex,NUCLEUS,13,433759; 22761; 14460; 15182; 19646; 245688; 107932; 116870; 229542; 116871; 23942; 17192; 17191
Gata1-Gfi1b complex,UNCLASSIFIED,2,14582; 14460
Gata1-Ldb1-Tal1 complex,LARGE PROTEIN COMPLEX|NUCLEUS,3,14460; 21349; 16825
Gata1-Snf2h complex,NUCLEUS,2,14460; 93762
Gata1-Tal1-Tcf3-Lmo2 complex,LARGE PROTEIN COMPLEX|UNKNOWN,4,21423; 14460; 21349; 16909
Gata2-Tal1-Tcf3-Lmo2 complex,LARGE PROTEIN COMPLEX|UNKNOWN,4,14461; 21423; 21349; 16909
GATB-GATC-QRSL1 complex,MITOCHONDRIA,3,384281; 229487; 76563
GATOR complex,LARGE PROTEIN COMPLEX,8,277854; 110379; 17168; 319481; 56032; 72124; 268933; 252875
GATOR1 complex,CYTOSOL,3,277854; 17168; 56032
GATOR2 complex,LARGE PROTEIN COMPLEX,5,110379; 319481; 72124; 268933; 252875
Gbeta5-rgs7 complex,CYTOSOL|NUCLEUS|UNKNOWN,2,24012; 14697
GCH1-GCHFR complex,CYTOSOL,2,14528; 320415
GCN5-TRRAP histone acetyltransferase complex,NUCLEUS,10,109115; 101206; 102162; 12189; 17685; 17688; 24075; 108143; 14534; 100683
GDF15-ERBB2 complex,PLASMA MEMBRANE,2,13866; 23886
GINS complex,CYTOSOL,4,69270; 109145; 78833; 272551
GIT1-ARHGEF7-PAK1-PXN complex,LARGE PROTEIN COMPLEX,4,19303; 18479; 54126; 216963
Git1-Kcna1 complex,LARGE PROTEIN COMPLEX,2,16485; 216963
GJB2-PTK2-NANOG complex,LARGE PROTEIN COMPLEX,3,14619; 14083; 71950
GLIS2-TRIM32 complex,UNKNOWN,2,69807; 83396
GLIS3-SUFU complex,UNKNOWN,2,226075; 24069
Glis3-Wwtr1 complex,UNKNOWN,2,226075; 97064
Glra1-Glrb complex,SECRETORY,2,14654; 14658
Glucosidase 2,ENDOPLASMIC RETICULUM,2,19089; 14376
"GluR delta-2 complex, postsynaptic",CYTOSOL,6,243961; 14816; 14804; 13385; 210274; 26556
GluR1-cadherin-catenin complex,PLASMA MEMBRANE,3,14799; 12387; 12558
GluR1-GluR2 complex,ENDOPLASMIC RETICULUM,2,14799; 14800
Glur2-Glur4-Plp-Itgav complex,PLASMA MEMBRANE,4,16410; 14800; 14802; 18823
Glur4-cadherin-catenin complex,PLASMA MEMBRANE,3,14802; 12387; 12558
GluR6a-GluR6b-KA2 complex,PLASMA MEMBRANE|SECRETORY,2,14806; 14809
"Glutamate receptor (Grin1, Grin2A) - Grin3B complex, ionotropic, NMDA-type",UNCLASSIFIED,3,14811; 14810; 170483
"Glutamate receptor 1 complex, metabotropic",UNCLASSIFIED,1,14816
"Glutamate receptor 2 complex, metabotropic",UNCLASSIFIED,1,108068
"Glutamate receptor 4 complex, metabotropic",MITOCHONDRIA,1,268934
"Glutamate receptor 7 complex, metabotropic",UNCLASSIFIED,1,108073
"Glutamate receptor 8 complex, metabotropic",UNCLASSIFIED,1,14823
"Glutamate receptor complex (GRIN1, GRIN2A, GRIN2B), ionotropic, NMDA-type",UNCLASSIFIED,3,14811; 14810; 14812
"Glutamate receptor complex (Grin1, Grin2a), ionotropic, NMDA-type",UNCLASSIFIED,2,14810; 14811
Glutamate-cysteine ligase,CYTOSOL,2,14629; 14630
"Glycine receptor (GLRA11, GLRB)",SECRETORY,2,14654; 14658
"Glycine receptor (Glra2, Glrb)",SECRETORY,2,14658; 237213
GM-CSF receptor complex,PLASMA MEMBRANE|SECRETORY,3,12981; 12982; 12983
Gm130-Grasp65 complex,GOLGI,2,74498; 99412
Gm130-Grasp65-p115 complex,GOLGI,3,74498; 56041; 99412
GNA14-p115RhoGEF complex,CYTOSOL|LARGE PROTEIN COMPLEX|SECRETORY|UNKNOWN,2,14675; 16801
GNAI1- GNB5-GNG4 complex,PLASMA MEMBRANE,3,14697; 14706; 14677
GNAI1-GNB1-GNG10 complex,PLASMA MEMBRANE,3,14700; 14688; 14677
GNAI1-GNB1-GNG11 complex,PLASMA MEMBRANE,3,66066; 14688; 14677
GNAI1-GNB1-GNG12 complex,PLASMA MEMBRANE,2,14688; 14677
GNAI1-GNB1-GNG13 complex,PLASMA MEMBRANE,3,14688; 14677; 64337
GNAI1-GNB1-GNG2 complex,PLASMA MEMBRANE,3,14702; 14688; 14677
GNAI1-GNB1-GNG3 complex,PLASMA MEMBRANE,3,14688; 14677; 14704
GNAI1-GNB1-GNG4 complex,PLASMA MEMBRANE,3,14706; 14688; 14677
GNAI1-GNB1-GNG5 complex,PLASMA MEMBRANE,3,14688; 14677; 14707
GNAI1-GNB1-GNG7 complex,PLASMA MEMBRANE,3,14708; 14688; 14677
